"Time","{cpu=""total"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod09713d3a-6c58-453a-bc76-2438c05b2d9e"", instance=""192.168.49.2:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""default"", node=""minikube"", pod=""nginx-deployment-647677fc66-szwpr"", service=""prometheus-kube-prometheus-kubelet""}"
2025-03-17 17:42:20,0.00326
2025-03-17 17:42:40,0.00367
2025-03-17 17:43:00,0.00265
2025-03-17 17:43:20,0.00387
2025-03-17 17:43:40,0.00472
2025-03-17 17:44:00,0.0139
2025-03-17 17:44:20,0.0143
2025-03-17 17:44:40,0.0132
2025-03-17 17:45:00,0.0134
2025-03-17 17:45:20,0.00985
2025-03-17 17:45:40,0.0115
2025-03-17 17:46:00,0.00770
2025-03-17 17:46:20,0
2025-03-17 17:47:40,0
2025-03-17 17:48:00,0
2025-03-17 17:48:20,0
2025-03-17 17:48:40,0
2025-03-17 17:49:20,0
2025-03-17 17:49:40,0
2025-03-17 17:50:00,0
2025-03-17 17:50:20,0
2025-03-17 17:50:40,0
2025-03-17 17:51:00,0
2025-03-17 17:51:40,0
2025-03-17 17:52:20,0
2025-03-17 17:53:00,0
2025-03-17 17:53:20,0
2025-03-17 17:53:40,0
2025-03-17 17:54:00,0
2025-03-17 17:54:20,0
2025-03-17 17:54:40,0
2025-03-17 17:55:00,0
2025-03-17 17:55:40,0
2025-03-17 17:56:00,0
2025-03-17 17:56:20,0
2025-03-17 17:57:00,0
2025-03-17 17:57:40,0
2025-03-17 17:58:00,0
2025-03-17 17:58:20,0
2025-03-17 17:58:40,0
2025-03-17 17:59:20,0
2025-03-17 17:59:40,0
2025-03-17 18:00:20,0
2025-03-17 18:01:00,0
2025-03-17 18:01:20,0
2025-03-17 18:02:40,0
2025-03-17 18:03:20,0
2025-03-17 18:03:40,0
2025-03-17 18:04:00,0
2025-03-17 18:04:20,0
2025-03-17 18:04:40,0
2025-03-17 18:05:00,0
2025-03-17 18:05:40,0
2025-03-17 18:06:00,0
