"Time","{cpu=""total"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod09713d3a-6c58-453a-bc76-2438c05b2d9e"", instance=""192.168.49.2:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""default"", node=""minikube"", pod=""nginx-deployment-647677fc66-szwpr"", service=""prometheus-kube-prometheus-kubelet""}"
2025-03-17 17:42:30,0.00333
2025-03-17 17:43:00,0.00265
2025-03-17 17:43:30,0.00465
2025-03-17 17:44:00,0.0139
2025-03-17 17:44:30,0.00971
2025-03-17 17:45:00,0.0134
2025-03-17 17:45:30,0.00672
2025-03-17 17:46:00,0.00770
2025-03-17 17:46:30,0
2025-03-17 17:47:30,0
2025-03-17 17:48:00,0
2025-03-17 17:48:30,0
2025-03-17 17:49:30,0
2025-03-17 17:50:00,0
2025-03-17 17:51:00,0
2025-03-17 17:52:30,0
2025-03-17 17:53:00,0
2025-03-17 17:53:30,0
2025-03-17 17:54:00,0
2025-03-17 17:55:00,0
2025-03-17 17:55:30,0
2025-03-17 17:56:00,0
2025-03-17 17:57:00,0
2025-03-17 17:58:00,0
2025-03-17 17:58:30,0
2025-03-17 17:59:30,0
2025-03-17 18:00:30,0
2025-03-17 18:01:00,0
2025-03-17 18:01:30,0
2025-03-17 18:02:30,0
2025-03-17 18:03:30,0
2025-03-17 18:04:00,0
2025-03-17 18:05:00,0
2025-03-17 18:05:30,0
2025-03-17 18:06:00,0
2025-03-17 18:06:30,0
2025-03-17 18:07:30,0
2025-03-17 18:08:00,0
2025-03-17 18:09:00,0
2025-03-17 18:09:30,0
2025-03-17 18:10:30,0
2025-03-17 18:11:00,0
2025-03-17 18:11:30,0
2025-03-17 18:12:30,0
2025-03-17 18:13:00,0
2025-03-17 18:14:00,0
2025-03-17 18:14:30,0
2025-03-17 18:15:00,0
2025-03-17 18:16:00,0
2025-03-17 18:16:30,0
2025-03-17 18:17:30,0
2025-03-17 18:18:00,0
2025-03-17 18:18:30,0
2025-03-17 18:19:00,0
2025-03-17 18:20:00,0
2025-03-17 18:20:30,0
2025-03-17 18:21:30,0
2025-03-17 18:22:30,0
2025-03-17 18:23:00,0
2025-03-17 18:24:00,0
2025-03-17 18:25:00,0
2025-03-17 18:26:00,0
2025-03-17 18:27:00,0
2025-03-17 18:27:30,0
2025-03-17 18:28:30,0
2025-03-17 18:29:00,0
2025-03-17 18:30:00,0
2025-03-17 18:31:00,0
2025-03-17 18:32:00,0
2025-03-17 18:32:30,0
2025-03-17 18:33:00,0
2025-03-17 18:33:30,0
2025-03-17 18:34:00,0
2025-03-17 18:34:30,0
2025-03-17 18:35:00,0
2025-03-17 18:35:30,0
2025-03-17 18:36:30,0
2025-03-17 18:37:00,0
2025-03-17 18:38:00,0
2025-03-17 18:38:30,0
2025-03-17 18:39:00,0
2025-03-17 18:40:00,0
2025-03-17 18:41:00,0
2025-03-17 18:41:30,0
2025-03-17 18:42:00,0
2025-03-17 18:42:30,0
2025-03-17 18:43:00,0
2025-03-17 18:44:30,0
2025-03-17 18:45:00,0
2025-03-17 18:45:30,0
2025-03-17 18:47:00,0
2025-03-17 18:47:30,0
2025-03-17 18:48:00,0
2025-03-17 18:48:30,0
2025-03-17 18:49:00,0
2025-03-17 18:50:00,0
2025-03-17 18:50:30,0
2025-03-17 18:51:00,0
2025-03-17 18:52:00,0
2025-03-17 18:52:30,0
2025-03-17 18:53:30,0
2025-03-17 18:54:00,0
2025-03-17 18:55:00,0
2025-03-17 18:55:30,0
2025-03-17 18:56:00,0
2025-03-17 18:56:30,0
2025-03-17 18:57:30,0
2025-03-17 18:58:30,0
2025-03-17 18:59:30,0
2025-03-17 19:00:00,0
2025-03-17 19:01:00,0
2025-03-17 19:01:30,0
2025-03-17 19:02:00,0
2025-03-17 19:02:30,0
2025-03-17 19:03:00,0
2025-03-17 19:03:30,0
2025-03-17 19:04:00,0
