"Time","{__name__=""container_memory_usage_bytes"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod09713d3a-6c58-453a-bc76-2438c05b2d9e"", instance=""192.168.49.2:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""default"", node=""minikube"", pod=""nginx-deployment-647677fc66-szwpr"", service=""prometheus-kube-prometheus-kubelet""}"
2025-03-17 09:10:00,8986624
2025-03-17 09:10:20,8986624
2025-03-17 09:10:40,8986624
2025-03-17 09:11:00,8990720
2025-03-17 09:11:20,8986624
2025-03-17 09:11:40,8990720
2025-03-17 09:12:00,8990720
2025-03-17 09:12:20,8986624
2025-03-17 09:12:40,8990720
2025-03-17 09:13:00,8986624
2025-03-17 09:13:20,8986624
2025-03-17 09:13:40,8986624
2025-03-17 09:14:00,8986624
2025-03-17 09:14:20,8986624
2025-03-17 09:14:40,8990720
2025-03-17 09:15:00,8986624
2025-03-17 09:15:20,9117696
2025-03-17 09:15:40,8990720
2025-03-17 09:16:00,8986624
2025-03-17 09:16:20,8986624
2025-03-17 09:16:40,8990720
2025-03-17 09:17:00,8990720
2025-03-17 09:17:20,8986624
2025-03-17 09:17:40,8990720
2025-03-17 09:18:00,8986624
2025-03-17 09:18:20,8986624
2025-03-17 09:18:40,8986624
2025-03-17 09:19:00,8990720
2025-03-17 09:19:20,8986624
2025-03-17 09:19:40,8986624
2025-03-17 09:20:00,8986624
2025-03-17 09:20:20,8986624
2025-03-17 09:20:40,9117696
2025-03-17 09:21:00,8986624
2025-03-17 09:21:20,9117696
2025-03-17 09:21:40,8986624
2025-03-17 09:22:00,8986624
2025-03-17 09:22:20,8986624
2025-03-17 09:22:40,8982528
2025-03-17 09:23:00,8982528
2025-03-17 09:23:20,8982528
2025-03-17 09:23:40,8982528
2025-03-17 09:24:00,8982528
2025-03-17 09:24:20,8982528
2025-03-17 09:24:40,8982528
2025-03-17 09:25:00,8982528
2025-03-17 09:25:20,8982528
2025-03-17 09:25:40,8982528
2025-03-17 09:26:00,8982528
2025-03-17 09:26:20,8982528
2025-03-17 09:26:40,8982528
2025-03-17 09:27:00,8982528
2025-03-17 09:27:20,8982528
